"filename", "language", "C++", "CMake", "YAML", "Swift", "Dart", "XML", "comment", "blank", "total"
"e:\Dev\go_great\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\Dev\go_great\lib\main.dart", "Dart", 0, 0, 0, 0, -2, 0, -1, 1, -2
"e:\Dev\go_great\lib\my_projects.dart", "Dart", 0, 0, 0, 0, 35, 0, 1, 2, 38
"e:\Dev\go_great\lib\profile_currentUser.dart", "Dart", 0, 0, 0, 0, 104, 0, -8, 9, 105
"e:\Dev\go_great\lib\profile_otheruser.dart", "Dart", 0, 0, 0, 0, 912, 0, 4, 54, 970
"e:\Dev\go_great\lib\saved_list.dart", "Dart", 0, 0, 0, 0, 50, 0, -9, 8, 49
"e:\Dev\go_great\lib\submission.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, -1, -2
"e:\Dev\go_great\lib\talent_list.dart", "Dart", 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\Dev\go_great\linux\flutter\generated_plugin_registrant.cc", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Dev\go_great\linux\flutter\generated_plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Dev\go_great\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 0, 0, 2
"e:\Dev\go_great\pubspec.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"e:\Dev\go_great\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Dev\go_great\windows\flutter\generated_plugins.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 7, 2, 3, 2, 1102, 2, -13, 75, 1180